5-10小时,Python,高数,活动,Python,高数,一般
10-15小时,Python,高数,活动,高数,早自习,一般
5-10小时,Python,高数,导引,Python,高数,比较满意
5-10小时,Python,晚自习,活动,高数,Python,不太满意
15小时以上,Python,心理,导引,Python,高数,比较满意
10-15小时,Python,心理,活动,高数,Python,比较满意
15小时以上,Python,高数,活动,无,早自习,比较满意
5-10小时,Python,英语,高数,英语,高数,一般
15小时以上,活动,无,无,高数,英语,一般
5-10小时,Python,导引,活动,无,早自习,非常满意
15小时以上,Python,活动,无,高数,Python,一般
5-10小时,Python,无,无,Python,晚自习,一般
15小时以上,Python,高数,活动,高数,导引,一般
少于5小时,Python,导引,活动,高数,心理,比较满意
15小时以上,Python,导引,活动,英语,高数,非常满意
15小时以上,Python,高数,活动,英语,高数,一般
10-15小时,心理,体育,军事理论,Python,高数,一般
5-10小时,Python,高数,活动,高数,军事理论,一般
15小时以上,导引,无,无,Python,高数,不太满意
10-15小时,Python,无,无,Python,晚自习,一般
10-15小时,Python,英语,活动,无,晚自习,比较满意
5-10小时,高数,导引,活动,高数,心理,一般
10-15小时,英语,高数,学习力,英语,体育,比较满意
5-10小时,英语,高数,活动,高数,Python,比较满意
少于5小时,英语,心理,学习力,晚自习,导引,一般
5-10小时,Python,无,活动,高数,活动,一般
10-15小时,心理,体育,活动,无,体育,比较满意
10-15小时,Python,英语,高数,高数,Python,一般
5-10小时,Python,心理,活动,晚自习,Python,不太满意
15小时以上,Python,高数,活动,体育,早自习,一般
10-15小时,Python,高数,导引,早自习,晚自习,比较满意
5-10小时,Python,高数,活动,高数,活动,一般
10-15小时,Python,高数,导引,无,英语,比较满意
15小时以上,Python,高数,活动,体育,高数,一般
15小时以上,Python,英语,高数,早自习,高数,比较满意
10-15小时,Python,晚自习,活动,高数,Python,一般
10-15小时,Python,晚自习,活动,高数,Python,一般
10-15小时,导引,无,活动,心理,晚自习,一般
5-10小时,Python,英语,活动,高数,学习力,一般
10-15小时,Python,高数,活动,高数,Python,不太满意
10-15小时,Python,高数,学习力,英语,高数,比较满意
15小时以上,Python,高数,导引,无,体育,比较满意
5-10小时,Python,导引,活动,高数,高数,一般
15小时以上,Python,高数,无,英语,高数,一般
少于5小时,早自习,晚自习,活动,Python,高数,一般
5-10小时,Python,无,无,无,Python,一般
15小时以上,Python,高数,导引,体育,高数,一般
10-15小时,Python,高数,活动,高数,晚自习,非常满意
5-10小时,Python,高数,活动,体育,形策,非常满意
15小时以上,Python,导引,晚自习,高数,活动,比较满意
15小时以上,Python,学习力,活动,无,Python,比较满意
10-15小时,心理,学习力,活动,高数,导引,比较满意
5-10小时,Python,晚自习,活动,高数,形策,一般
10-15小时,Python,高数,活动,高数,Python,比较满意
少于5小时,Python,英语,高数,高数,英语,不太满意
10-15小时,Python,英语,高数,高数,Python,一般
少于5小时,Python,高数,无,Python,高数,不太满意
5-10小时,心理,活动,无,Python,晚自习,比较满意
少于5小时,Python,导引,无,Python,Python,不太满意
15小时以上,Python,英语,高数,高数,Python,比较满意
